complaint_id,timestamp,ward_code,ward_name,issue_type,phone_number,latitude,longitude,status,is_duplicate,duplicate_parent_id,synthetic,seed,generator_version,generated_at
10030,2026-08-15T12:23:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9878596926,19.1247,72.8326,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10031,2026-08-15T15:55:00Z,N,Ghatkopar / Pant Nagar,severe_dry_pipe,+91-9895765991,19.0788,72.9056,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10032,2026-08-15T11:12:00Z,G/N,Dharavi / Mahim / Dadar West,severe_dry_pipe,+91-9821982442,19.0438,72.8448,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10033,2026-08-15T10:08:00Z,R/C,Borivali / Gorai,contaminated_water,+91-9818627647,19.2277,72.8577,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10034,2026-08-15T17:19:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9825328717,19.1259,72.8322,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10035,2026-08-15T21:51:00Z,K/W,Andheri West / Versova,contaminated_water,+91-9816781627,19.1236,72.8335,resolved,true,10015,true,42,2.0.0,2026-09-18T12:00:00Z
10036,2026-08-15T07:28:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,contaminated_water,+91-9859344598,19.0549,72.918,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10037,2026-08-15T08:34:00Z,P/S,Goregaon West & East,severe_dry_pipe,+91-9884763353,19.1659,72.8457,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10038,2026-08-15T10:49:00Z,G/S,Worli / Lower Parel,severe_dry_pipe,+91-9847671730,19.0056,72.8193,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10039,2026-08-15T10:51:00Z,G/S,Worli / Lower Parel,severe_dry_pipe,+91-9842854251,19.007,72.8173,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10040,2026-08-15T19:05:00Z,D,Malabar Hill / Walkeshwar,severe_dry_pipe,+91-9831378210,18.9565,72.8146,resolved,true,,true,42,2.0.0,2026-09-18T12:00:00Z
10041,2026-08-15T06:20:00Z,S,Bhandup / Kanjurmarg / Powai,severe_dry_pipe,+91-9877326385,19.1436,72.9266,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10042,2026-08-15T10:35:00Z,K/W,Andheri West / Versova,tanker_delay,+91-9897402869,19.1242,72.8306,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10043,2026-08-15T09:47:00Z,S,Bhandup / Kanjurmarg / Powai,low_pressure,+91-9852106842,19.1385,72.9286,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10044,2026-08-15T19:19:00Z,C,Marine Lines / Chandanwadi,pipeline_burst,+91-9858546164,18.9472,72.8254,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10045,2026-08-15T11:06:00Z,E,Byculla / Mazgaon / Nagpada,severe_dry_pipe,+91-9897904247,18.9763,72.8282,resolved,true,,true,42,2.0.0,2026-09-18T12:00:00Z
10046,2026-08-15T14:45:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,severe_dry_pipe,+91-9878878909,19.0573,72.9137,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10047,2026-08-15T16:15:00Z,H/W,Bandra West / Khar,low_pressure,+91-9878161448,19.0589,72.8302,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10048,2026-08-15T21:03:00Z,F/N,Matunga / Sion / Wadala,low_pressure,+91-9862876959,19.0296,72.862,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10049,2026-08-15T06:12:00Z,K/W,Andheri West / Versova,contaminated_water,+91-9840404744,19.1235,72.829,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10050,2026-08-15T18:35:00Z,R/S,Kandivali West & East,low_pressure,+91-9865928576,19.2089,72.8522,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10051,2026-08-15T06:36:00Z,F/S,Parel / Sewri / Lalbaug,severe_dry_pipe,+91-9819414052,19.0017,72.8458,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10052,2026-08-15T10:23:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9863304744,19.1313,72.8309,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10053,2026-08-15T11:43:00Z,K/E,Andheri East / Marol,pipeline_burst,+91-9850162501,19.1138,72.8684,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10054,2026-08-15T18:08:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9824454846,19.1281,72.8273,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10055,2026-08-15T11:13:00Z,K/W,Andheri West / Versova,low_pressure,+91-9840447496,19.1307,72.833,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10056,2026-08-15T20:36:00Z,K/W,Andheri West / Versova,tanker_delay,+91-9826844628,19.1322,72.8338,resolved,true,10042,true,42,2.0.0,2026-09-18T12:00:00Z
10057,2026-08-15T21:33:00Z,P/S,Goregaon West & East,severe_dry_pipe,+91-9877203735,19.1573,72.8458,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10058,2026-08-16T19:42:00Z,R/S,Kandivali West & East,severe_dry_pipe,+91-9834947832,19.2104,72.8513,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10059,2026-08-16T13:40:00Z,C,Marine Lines / Chandanwadi,pipeline_burst,+91-9847778882,18.9453,72.8284,resolved,true,10044,true,42,2.0.0,2026-09-18T12:00:00Z
10060,2026-08-16T06:13:00Z,K/W,Andheri West / Versova,contaminated_water,+91-9899534953,19.1286,72.8287,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10061,2026-08-16T10:54:00Z,H/E,Bandra East / Santacruz East,severe_dry_pipe,+91-9896642904,19.0653,72.8523,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10062,2026-08-16T15:38:00Z,C,Marine Lines / Chandanwadi,low_pressure,+91-9857394588,18.9489,72.8278,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10063,2026-08-16T11:00:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,contaminated_water,+91-9838462747,19.0534,72.9155,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10064,2026-08-16T20:22:00Z,T,Mulund / Nahur,tanker_delay,+91-9849986788,19.1699,72.9564,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10065,2026-08-16T07:38:00Z,F/N,Matunga / Sion / Wadala,tanker_delay,+91-9839320244,19.0223,72.8546,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10066,2026-08-16T19:01:00Z,S,Bhandup / Kanjurmarg / Powai,contaminated_water,+91-9865367996,19.1412,72.929,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10067,2026-08-16T13:02:00Z,E,Byculla / Mazgaon / Nagpada,severe_dry_pipe,+91-9851272534,18.9672,72.8326,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10068,2026-08-16T13:49:00Z,R/N,Dahisar / Mandapeshwar,contaminated_water,+91-9824266410,19.2576,72.8552,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10069,2026-08-16T12:01:00Z,K/W,Andheri West / Versova,low_pressure,+91-9841949073,19.123,72.8295,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10070,2026-08-16T09:09:00Z,G/N,Dharavi / Mahim / Dadar West,contaminated_water,+91-9817844983,19.0469,72.8475,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10071,2026-08-16T12:49:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9836585171,19.1271,72.8344,resolved,true,10052,true,42,2.0.0,2026-09-18T12:00:00Z
10072,2026-08-16T12:50:00Z,M/W,Chembur West / Tilak Nagar,contaminated_water,+91-9870065719,19.0563,72.8944,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10073,2026-08-16T09:47:00Z,B,Sandhurst Road / Dongri,severe_dry_pipe,+91-9869944706,18.9547,72.8379,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10074,2026-08-16T10:08:00Z,L,Kurla / Asalpha / Sakinaka,severe_dry_pipe,+91-9854483379,19.0752,72.886,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10075,2026-08-16T21:21:00Z,C,Marine Lines / Chandanwadi,pipeline_burst,+91-9830550260,18.9472,72.8256,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10076,2026-08-16T10:40:00Z,G/N,Dharavi / Mahim / Dadar West,severe_dry_pipe,+91-9831718290,19.0469,72.8473,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10077,2026-08-16T12:14:00Z,F/N,Matunga / Sion / Wadala,severe_dry_pipe,+91-9851796145,19.024,72.8592,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10078,2026-08-16T15:17:00Z,D,Malabar Hill / Walkeshwar,severe_dry_pipe,+91-9887663372,18.9633,72.815,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10079,2026-08-16T19:04:00Z,F/N,Matunga / Sion / Wadala,contaminated_water,+91-9899378896,19.0294,72.8565,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10080,2026-08-16T12:24:00Z,H/E,Bandra East / Santacruz East,severe_dry_pipe,+91-9860891931,19.0654,72.85,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10081,2026-08-16T09:10:00Z,R/C,Borivali / Gorai,low_pressure,+91-9854244929,19.2247,72.8577,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10082,2026-08-16T15:34:00Z,K/E,Andheri East / Marol,severe_dry_pipe,+91-9850254811,19.1144,72.8697,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10083,2026-08-16T19:41:00Z,G/S,Worli / Lower Parel,severe_dry_pipe,+91-9877108318,19.0095,72.8175,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10084,2026-08-16T10:47:00Z,R/N,Dahisar / Mandapeshwar,severe_dry_pipe,+91-9876525508,19.2516,72.8591,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10085,2026-08-16T12:03:00Z,P/S,Goregaon West & East,tanker_delay,+91-9888816462,19.1587,72.8472,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10086,2026-08-16T21:23:00Z,K/W,Andheri West / Versova,pipeline_burst,+91-9886634097,19.1269,72.8331,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10087,2026-08-16T06:28:00Z,E,Byculla / Mazgaon / Nagpada,pipeline_burst,+91-9837994658,18.9734,72.8367,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10088,2026-08-16T09:18:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,severe_dry_pipe,+91-9832470333,19.0523,72.918,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10089,2026-08-16T06:25:00Z,P/S,Goregaon West & East,contaminated_water,+91-9860083747,19.1606,72.8431,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10090,2026-08-17T19:47:00Z,F/N,Matunga / Sion / Wadala,severe_dry_pipe,+91-9824372519,19.022,72.855,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10091,2026-08-17T06:20:00Z,P/S,Goregaon West & East,severe_dry_pipe,+91-9863405302,19.1623,72.8461,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10092,2026-08-17T21:05:00Z,R/S,Kandivali West & East,low_pressure,+91-9858020815,19.2046,72.8538,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10093,2026-08-17T08:46:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,severe_dry_pipe,+91-9826799589,19.0523,72.9202,resolved,true,10088,true,42,2.0.0,2026-09-18T12:00:00Z
10094,2026-08-17T07:34:00Z,L,Kurla / Asalpha / Sakinaka,low_pressure,+91-9889386992,19.074,72.8837,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10095,2026-08-17T16:45:00Z,M/W,Chembur West / Tilak Nagar,severe_dry_pipe,+91-9892719868,19.0567,72.9024,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10096,2026-08-17T16:03:00Z,L,Kurla / Asalpha / Sakinaka,tanker_delay,+91-9885700804,19.075,72.8859,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10097,2026-08-17T09:45:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9869043364,19.1256,72.8264,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10098,2026-08-17T16:47:00Z,K/W,Andheri West / Versova,contaminated_water,+91-9819299057,19.1252,72.8319,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10099,2026-08-17T14:34:00Z,F/S,Parel / Sewri / Lalbaug,severe_dry_pipe,+91-9894146202,18.9938,72.8464,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10100,2026-08-17T19:04:00Z,B,Sandhurst Road / Dongri,contaminated_water,+91-9862169824,18.9533,72.8407,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10101,2026-08-17T13:36:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,severe_dry_pipe,+91-9815517365,19.0524,72.9163,resolved,true,10088,true,42,2.0.0,2026-09-18T12:00:00Z
10102,2026-08-17T08:54:00Z,B,Sandhurst Road / Dongri,severe_dry_pipe,+91-9824917765,18.9534,72.8334,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10103,2026-08-17T13:33:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9878991298,19.1322,72.8279,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10104,2026-08-17T15:03:00Z,K/W,Andheri West / Versova,tanker_delay,+91-9897672805,19.1277,72.8272,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10105,2026-08-17T14:44:00Z,D,Malabar Hill / Walkeshwar,severe_dry_pipe,+91-9887442864,18.9643,72.8138,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10106,2026-08-17T21:38:00Z,M/W,Chembur West / Tilak Nagar,severe_dry_pipe,+91-9857052656,19.0639,72.8973,resolved,true,10095,true,42,2.0.0,2026-09-18T12:00:00Z
10107,2026-08-17T18:14:00Z,N,Ghatkopar / Pant Nagar,severe_dry_pipe,+91-9843353633,19.0786,72.9107,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10108,2026-08-17T15:22:00Z,K/W,Andheri West / Versova,contaminated_water,+91-9838067263,19.1306,72.8344,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10109,2026-08-17T21:25:00Z,B,Sandhurst Road / Dongri,low_pressure,+91-9810595853,18.9518,72.8362,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10110,2026-08-17T13:24:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9847336680,19.1286,72.8343,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10111,2026-08-17T18:37:00Z,K/W,Andheri West / Versova,contaminated_water,+91-9811515687,19.1242,72.8272,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10112,2026-08-17T06:08:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,severe_dry_pipe,+91-9846117569,19.0516,72.9139,resolved,true,10093,true,42,2.0.0,2026-09-18T12:00:00Z
10113,2026-08-17T11:28:00Z,K/E,Andheri East / Marol,severe_dry_pipe,+91-9859355795,19.118,72.8658,resolved,true,,true,42,2.0.0,2026-09-18T12:00:00Z
10114,2026-08-17T09:08:00Z,K/W,Andheri West / Versova,tanker_delay,+91-9861267499,19.1329,72.8259,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10115,2026-08-17T12:12:00Z,K/W,Andheri West / Versova,contaminated_water,+91-9860631363,19.1323,72.8265,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10116,2026-08-17T13:22:00Z,M/W,Chembur West / Tilak Nagar,severe_dry_pipe,+91-9836935721,19.0652,72.8987,resolved,true,10106,true,42,2.0.0,2026-09-18T12:00:00Z
10117,2026-08-17T19:08:00Z,D,Malabar Hill / Walkeshwar,contaminated_water,+91-9823715597,18.9575,72.8094,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10118,2026-08-18T06:16:00Z,C,Marine Lines / Chandanwadi,tanker_delay,+91-9873797586,18.9446,72.8267,resolved,true,,true,42,2.0.0,2026-09-18T12:00:00Z
10119,2026-08-18T08:35:00Z,K/W,Andheri West / Versova,low_pressure,+91-9847058672,19.13,72.8309,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10120,2026-08-18T15:54:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,pipeline_burst,+91-9860682198,19.0547,72.9162,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10121,2026-08-18T20:14:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9824014401,19.1311,72.8267,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10122,2026-08-18T17:25:00Z,D,Malabar Hill / Walkeshwar,severe_dry_pipe,+91-9858476071,18.9648,72.8085,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10123,2026-08-18T09:08:00Z,B,Sandhurst Road / Dongri,pipeline_burst,+91-9881604539,18.9481,72.8331,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10124,2026-08-18T14:40:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,low_pressure,+91-9892261804,19.051,72.9189,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10125,2026-08-18T20:32:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,severe_dry_pipe,+91-9885407922,19.0518,72.9177,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10126,2026-08-18T10:07:00Z,S,Bhandup / Kanjurmarg / Powai,pipeline_burst,+91-9894140563,19.1425,72.9301,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10127,2026-08-18T15:52:00Z,T,Mulund / Nahur,contaminated_water,+91-9884667497,19.1731,72.9517,resolved,true,,true,42,2.0.0,2026-09-18T12:00:00Z
10128,2026-08-18T10:29:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,contaminated_water,+91-9815463646,19.0561,72.9209,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10129,2026-08-18T10:54:00Z,P/N,Malad / Marve / Malvani,contaminated_water,+91-9859405907,19.1876,72.8451,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10130,2026-08-18T07:37:00Z,G/S,Worli / Lower Parel,contaminated_water,+91-9884629901,19.0085,72.8168,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10131,2026-08-18T15:32:00Z,R/N,Dahisar / Mandapeshwar,severe_dry_pipe,+91-9819967528,19.2519,72.8629,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10132,2026-08-18T17:31:00Z,M/W,Chembur West / Tilak Nagar,low_pressure,+91-9835074544,19.0569,72.8963,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10133,2026-08-18T12:23:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,low_pressure,+91-9863338718,19.0531,72.9144,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10134,2026-08-18T13:50:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,contaminated_water,+91-9887371226,19.0579,72.9136,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10135,2026-08-18T12:13:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,tanker_delay,+91-9821598028,19.05,72.9148,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10136,2026-08-18T20:22:00Z,E,Byculla / Mazgaon / Nagpada,pipeline_burst,+91-9870568904,18.9745,72.8368,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10137,2026-08-18T11:38:00Z,G/S,Worli / Lower Parel,pipeline_burst,+91-9881029544,19.002,72.8225,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10138,2026-08-18T15:36:00Z,H/E,Bandra East / Santacruz East,contaminated_water,+91-9851513913,19.0592,72.8487,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10139,2026-08-18T18:26:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9824811625,19.1275,72.8291,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10140,2026-08-18T20:08:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,pipeline_burst,+91-9875846430,19.0596,72.9212,resolved,true,10120,true,42,2.0.0,2026-09-18T12:00:00Z
10141,2026-08-18T19:00:00Z,L,Kurla / Asalpha / Sakinaka,severe_dry_pipe,+91-9891612651,19.0731,72.8797,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10142,2026-08-18T09:06:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,low_pressure,+91-9837226532,19.0532,72.9151,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10143,2026-08-18T17:32:00Z,G/S,Worli / Lower Parel,pipeline_burst,+91-9845156268,19.0095,72.8256,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10144,2026-08-18T20:02:00Z,H/W,Bandra West / Khar,severe_dry_pipe,+91-9838914628,19.0547,72.8365,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10145,2026-08-18T12:03:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,low_pressure,+91-9896344133,19.0568,72.9163,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10146,2026-08-18T08:01:00Z,M/W,Chembur West / Tilak Nagar,severe_dry_pipe,+91-9894393487,19.0631,72.8996,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10147,2026-08-18T16:09:00Z,R/S,Kandivali West & East,low_pressure,+91-9824354376,19.2037,72.8476,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
